source,neighbor,delta
Endothelial,Endothelial,-2.35820690999022
Endothelial,Fibroblast,-0.817801875995021
Endothelial,Schwann,0.104897923516166
Endothelial,Neuroblast,0.21548795650297992
Endothelial,Macrophage,-1.1045190443557074
Endothelial,B,-1.695679722788338
Endothelial,T,-1.7178620977790662
Fibroblast,Endothelial,-0.821971408750456
Fibroblast,Fibroblast,-1.5559433108305596
Fibroblast,Schwann,-0.862988174743425
Fibroblast,Neuroblast,-1.41270728309329
Fibroblast,Macrophage,-1.13160042153016
Fibroblast,B,-2.036521767629713
Fibroblast,T,-1.3638046104085202
Schwann,Endothelial,0.138807649873938
Schwann,Fibroblast,-0.724029277604831
Schwann,Schwann,-2.41293820810526
Schwann,Neuroblast,0.13672792094763897
Schwann,Macrophage,-0.8125358544054921
Schwann,B,-0.96742117510263
Schwann,T,-1.253528181338087
Neuroblast,Endothelial,0.3561027958218601
Neuroblast,Fibroblast,-1.35910373180928
Neuroblast,Schwann,0.19084944640678103
Neuroblast,Neuroblast,0.5867705473694831
Neuroblast,Macrophage,0.25597369192254993
Neuroblast,B,0.7355658565107059
Neuroblast,T,0.3505527719730701
Macrophage,Endothelial,-1.0621075090795946
Macrophage,Fibroblast,-1.1142752159378515
Macrophage,Schwann,-0.864648676640806
Macrophage,Neuroblast,0.20168750811219005
Macrophage,Macrophage,-1.459672035932857
Macrophage,B,-1.2406807620432014
Macrophage,T,-1.127499852651452
B,Endothelial,-1.704006004312582
B,Fibroblast,-1.997122688361405
B,Schwann,-0.909834984473322
B,Neuroblast,0.701727196033212
B,Macrophage,-1.2544330908316375
B,B,-2.46350372760532
B,T,-1.7366773406109568
T,Endothelial,-1.6975779315485742
T,Fibroblast,-1.3659451732723742
T,Schwann,-1.3293766759282648
T,Neuroblast,0.32501469778024994
T,Macrophage,-1.148132743613033
T,B,-1.730487631810416
T,T,-1.72902886852889
