Plot_Type,Plot_ID,T_subtype,Top_N,Weighting,B,Endothelial,Fibroblast,Macrophage,Neuroblast,Schwann,T
individual,Patient1_DX,Cytotoxic T,10,equal,0.0712616822429906,0.112928348909657,0.0782710280373831,0.223909657320872,0.0825545171339563,0.00350467289719626,0.427570093457943
individual,Patient1_DX,Naive/CM T,10,equal,0.131941763191763,0.0627171814671814,0.0731338481338481,0.116819498069498,0.17532175032175,0.00303249678249678,0.437033462033462
individual,Patient1_DX,Proliferating T,10,equal,0.149122807017543,0.102339181286549,0.0409356725146198,0.119883040935672,0.0818713450292397,0.00584795321637426,0.5
individual,Patient1_DX,Treg,10,equal,0.0444444444444444,0.0722222222222222,0.0111111111111111,0.133333333333333,0.522222222222222,0.00555555555555555,0.211111111111111
individual,Patient1_DX,gdT,10,equal,0.0429887410440122,0.0528829750938246,0.0394063459570112,0.092459911293074,0.593824633230979,0.00358239508700102,0.174854998294097
individual,Patient1_PT,Cytotoxic T,10,equal,0.0243820975283901,0.12692050768203,0.13627254509018,0.282565130260521,0.157648630594522,0.00601202404809619,0.266199064796259
individual,Patient1_PT,Naive/CM T,10,equal,0.00999135882480017,0.105314322747893,0.145765824152084,0.262583711384748,0.28348455389933,0.00270036724994599,0.190159861741196
individual,Patient1_PT,Proliferating T,10,equal,0.0265151515151515,0.0416666666666666,0.109848484848484,0.212121212121212,0.291666666666666,0.00378787878787878,0.314393939393939
individual,Patient1_PT,Treg,10,equal,0.0188679245283018,0.0660377358490566,0.0691823899371069,0.238993710691823,0.449685534591195,0.0,0.157232704402515
individual,Patient1_PT,gdT,10,equal,0.0114560236511456,0.0739098300073909,0.0724316334072431,0.193274205469327,0.459719142645971,0.00147819660014781,0.187730968218773
individual,Patient3_DX,Cytotoxic T,10,equal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
individual,Patient3_DX,Naive/CM T,10,equal,0.0533625730994152,0.0804093567251462,0.415570175438596,0.217470760233918,0.153874269005847,0.0127923976608187,0.0665204678362573
individual,Patient3_DX,Proliferating T,10,equal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
individual,Patient3_DX,Treg,10,equal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
individual,Patient3_DX,gdT,10,equal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
individual,Patient3_PT,Cytotoxic T,10,equal,0.0107260726072607,0.0948844884488448,0.25,0.466171617161716,0.0536303630363036,0.00577557755775577,0.118811881188118
individual,Patient3_PT,Naive/CM T,10,equal,0.00897226753670473,0.10331702011963,0.30342577487765,0.371941272430668,0.0793909733550842,0.00516585100598151,0.127786840674279
individual,Patient3_PT,Proliferating T,10,equal,0.0350877192982456,0.0175438596491228,0.245614035087719,0.37719298245614,0.0789473684210526,0.0,0.245614035087719
individual,Patient3_PT,Treg,10,equal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
individual,Patient3_PT,gdT,10,equal,0.0,0.0523809523809523,0.166666666666666,0.247619047619047,0.433333333333333,0.00952380952380952,0.0857142857142857
individual,Patient4_DX,Cytotoxic T,10,equal,0.115079365079365,0.0815295815295815,0.109307359307359,0.202020202020202,0.137806637806637,0.0858585858585858,0.268398268398268
individual,Patient4_DX,Naive/CM T,10,equal,0.165822847031065,0.0540945733385764,0.0668747542272906,0.101782671385502,0.210315899855813,0.0534801415650806,0.34762911259667
individual,Patient4_DX,Proliferating T,10,equal,0.253623188405797,0.0652173913043478,0.0652173913043478,0.101449275362318,0.181159420289855,0.0652173913043478,0.268115942028985
individual,Patient4_DX,Treg,10,equal,0.0952380952380952,0.0714285714285714,0.0476190476190476,0.142857142857142,0.404761904761904,0.0238095238095238,0.214285714285714
individual,Patient4_DX,gdT,10,equal,0.0783208020050125,0.0733082706766917,0.0407268170426065,0.113408521303258,0.44172932330827,0.0451127819548872,0.207393483709273
individual,Patient4_PT,Cytotoxic T,10,equal,0.00183150183150183,0.115995115995116,0.188644688644688,0.251526251526251,0.121489621489621,0.242979242979242,0.0775335775335775
individual,Patient4_PT,Naive/CM T,10,equal,0.00266860747210092,0.152474526928675,0.196385249878699,0.180980106744298,0.18753032508491,0.189956331877729,0.0900048520135856
individual,Patient4_PT,Proliferating T,10,equal,0.0,0.208333333333333,0.125,0.180555555555555,0.263888888888888,0.166666666666666,0.0555555555555555
individual,Patient4_PT,Treg,10,equal,0.0151515151515151,0.0909090909090909,0.121212121212121,0.227272727272727,0.409090909090909,0.0303030303030303,0.106060606060606
individual,Patient4_PT,gdT,10,equal,0.0015432098765432,0.145833333333333,0.118827160493827,0.152006172839506,0.402777777777777,0.0941358024691358,0.0848765432098765
individual,Patient2_DX,Cytotoxic T,10,equal,0.0622819784230831,0.0666019821193429,0.0576501028022269,0.263393166539607,0.120671333194723,0.00346524360662554,0.42593619331439
individual,Patient2_DX,Naive/CM T,10,equal,0.0687857726901063,0.0680362496593077,0.12397792313982,0.179715181248296,0.137128645407467,0.00436086127010084,0.4179953665849
individual,Patient2_DX,Proliferating T,10,equal,0.0806831566548881,0.0594817432273262,0.0294464075382803,0.147232037691401,0.222614840989399,0.0,0.460541813898704
individual,Patient2_DX,Treg,10,equal,0.0508559919436052,0.0332326283987915,0.0488418932527693,0.222557905337361,0.341389728096676,0.00302114803625377,0.300100704934541
individual,Patient2_DX,gdT,10,equal,0.028910587784798,0.0317476894156963,0.0321219083424712,0.142542600038292,0.503620350547404,0.0047691156249456,0.256287748246392
individual,Patient2_PT,Cytotoxic T,10,equal,0.0999613479397434,0.0699653148617171,0.0835698229125344,0.236896442993296,0.17668568754895,0.00348377122048966,0.329437612523267
individual,Patient2_PT,Naive/CM T,10,equal,0.101542249870399,0.0991770347330222,0.160348626231207,0.18286677034733,0.0905909797822706,0.00417962674961119,0.361294712286158
individual,Patient2_PT,Proliferating T,10,equal,0.115604988203572,0.0438153016514998,0.0483653522076171,0.171553758004718,0.311425682507583,0.00421300977418267,0.305021907650825
individual,Patient2_PT,Treg,10,equal,0.0821067821067821,0.0316017316017316,0.0222222222222222,0.172510822510822,0.496536796536796,0.0049062049062049,0.19011544011544
individual,Patient2_PT,gdT,10,equal,0.0923465666354069,0.0513181202459101,0.0406376992810253,0.188574554548296,0.374413879337292,0.00424611857872251,0.248463061373345
individual,Patient5_DX,Cytotoxic T,10,equal,0.0478095238095238,0.0986666666666666,0.124761904761904,0.270285714285714,0.0786666666666666,0.0285714285714285,0.351238095238095
individual,Patient5_DX,Naive/CM T,10,equal,0.0860315737096847,0.0785316867960374,0.0926720043425159,0.178690007689871,0.132270321617587,0.017881214095083,0.413923191749219
individual,Patient5_DX,Proliferating T,10,equal,0.0913461538461538,0.0665064102564102,0.0889423076923077,0.190705128205128,0.135416666666666,0.0344551282051282,0.392628205128205
individual,Patient5_DX,Treg,10,equal,0.11025641025641,0.0641025641025641,0.0564102564102564,0.138461538461538,0.284615384615384,0.0128205128205128,0.333333333333333
individual,Patient5_DX,gdT,10,equal,0.0412240768841679,0.0657561962569549,0.067779463834092,0.160849772382397,0.405412240768841,0.0209914011127971,0.237986848760748
