source,neighbor,delta
Endothelial,Endothelial,-0.26768541323689976
Endothelial,Fibroblast,-0.329282898764014
Endothelial,Schwann,-0.43628255956745227
Endothelial,Neuroblast,-0.03390573843648004
Endothelial,Macrophage,-0.07560451934456201
Endothelial,B,1.182595060556889
Endothelial,T,0.7643748242308079
Fibroblast,Endothelial,-0.21433174023444096
Fibroblast,Fibroblast,-0.33900465654275
Fibroblast,Schwann,-0.09597601337662698
Fibroblast,Neuroblast,0.025201417033930085
Fibroblast,Macrophage,0.06410512654431305
Fibroblast,B,0.25224095158802096
Fibroblast,T,0.797208827255516
Schwann,Endothelial,-0.20389146722997759
Schwann,Fibroblast,-0.045581136821798984
Schwann,Schwann,0.06717563828785988
Schwann,Neuroblast,-1.7884182432875901
Schwann,Macrophage,0.11600949015895407
Schwann,B,0.38450871312272494
Schwann,T,0.7359564484465854
Neuroblast,Endothelial,0.274132754557585
Neuroblast,Fibroblast,0.12763980129219
Neuroblast,Schwann,-1.6906611144911403
Neuroblast,Neuroblast,-0.16649008797277498
Neuroblast,Macrophage,-0.17594748760829593
Neuroblast,B,0.5918921853028001
Neuroblast,T,-0.34363696988067793
Macrophage,Endothelial,0.115485354172778
Macrophage,Fibroblast,0.119420097082929
Macrophage,Schwann,0.11246338977780496
Macrophage,Neuroblast,-0.19232168463432198
Macrophage,Macrophage,-0.270907698110076
Macrophage,B,0.5198888233532476
Macrophage,T,0.630421215321595
B,Endothelial,1.439877941774613
B,Fibroblast,0.18771011778307328
B,Schwann,0.287288952174342
B,Neuroblast,0.50953902455275
B,Macrophage,0.5626998099022217
B,B,2.3467917945549504
B,T,0.3667888372156839
T,Endothelial,0.9608967802837509
T,Fibroblast,0.886486960644003
T,Schwann,0.717363492312073
T,Neuroblast,-0.37267729253215687
T,Macrophage,0.6452832944855
T,B,0.598724397445116
T,T,0.73534929411049
