T_subtype,n_complete_samples,friedman_chi2,friedman_p,mean_Immune-rich,mean_Neuroblast-rich,mean_Other,median_Immune-rich,median_Neuroblast-rich,median_Other,friedman_p_fdr_bh
Cytotoxic T,10,2.51282051282051,0.284674101531593,0.20241959187743,0.142663475828837,0.184814439092567,0.110159817351598,0.107120093276331,0.117702419531687,0.284674101531593
Naive/CM T,10,7.53846153846154,0.0230698024654864,0.720757085787278,0.649987204156216,0.73385665045183,0.822686688948516,0.710403641798662,0.817718866499354,0.0384496707758106
Proliferating T,10,3.55555555555555,0.169013315406065,0.0125548883729081,0.0162132755417208,0.0106635394490349,0.00341766137292808,0.00924168337613302,0.00533134414059696,0.211266644257582
Treg,10,12.9677419354838,0.00152788482445867,0.00386396919160956,0.0171283487693137,0.00696522047728576,0.000454301011110955,0.00696356948782877,0.00138662575581701,0.00381971206114668
gdT,10,14.3076923076923,0.000781851171078161,0.0604044647707732,0.17400769570391,0.0637001505292817,0.00837789868558254,0.145226134128054,0.0371825538947831,0.00381971206114668
