source,neighbor,delta
Endothelial,Endothelial,-0.4131859655583199
Endothelial,Fibroblast,-0.0025709119579039874
Endothelial,Schwann,-0.0469112494088163
Endothelial,Neuroblast,-0.22211127389858998
Endothelial,Macrophage,-0.12697538230577698
Endothelial,B,0.7929439234830511
Endothelial,T,-0.6589029042279251
Fibroblast,Endothelial,0.17311875895865098
Fibroblast,Fibroblast,-0.10384884201051292
Fibroblast,Schwann,0.990698860408636
Fibroblast,Neuroblast,1.22275166452433
Fibroblast,Macrophage,0.2864900708593453
Fibroblast,B,-0.233683458058647
Fibroblast,T,-0.010337938972290017
Schwann,Endothelial,-0.02836745230399698
Schwann,Fibroblast,1.04291163830027
Schwann,Schwann,0.08924892202078016
Schwann,Neuroblast,-0.449133308179823
Schwann,Macrophage,-0.23293106819324372
Schwann,B,-0.06916324929872802
Schwann,T,0.18343514075053002
Neuroblast,Endothelial,0.0829036712206297
Neuroblast,Fibroblast,1.29688687371927
Neuroblast,Schwann,-0.468167151039088
Neuroblast,Neuroblast,0.08282023930208005
Neuroblast,Macrophage,-0.2739365623533101
Neuroblast,B,-0.5358424462925402
Neuroblast,T,-0.8190696588406199
Macrophage,Endothelial,0.10507765014961301
Macrophage,Fibroblast,0.29755232712478696
Macrophage,Schwann,-0.2545197078581357
Macrophage,Neuroblast,-0.24000269474632008
Macrophage,Macrophage,-0.605222974620129
Macrophage,B,0.46075538596032195
Macrophage,T,-0.13858137488433703
B,Endothelial,1.2042391427002848
B,Fibroblast,-0.2535861780942639
B,Schwann,0.09015030456525802
B,Neuroblast,-0.41227701014164
B,Macrophage,0.4607621074169847
B,B,0.34338280988489034
B,T,-0.35268289923915996
T,Endothelial,-0.24613746170669001
T,Fibroblast,0.08775268045184897
T,Schwann,0.002903081137759056
T,Neuroblast,-0.69989958835628
T,Macrophage,-0.047351299722932005
T,B,-0.41935640237589
T,T,-0.24587318471785036
