contrast,estimate,SE,df,t.ratio,p.value,comp_key
pTx - pI4,246.887353033607,76.1280043336005,55.0225919518459,3.24305562972231,0.0100597975965316,pI4 - pTx
pTx - pSu,325.273563192794,90.4077634795773,63.14409193498,3.59784990440862,0.00378310105298548,pSu - pTx
pTx - ePC,63.1440875620277,74.9029712290713,54.0263117661559,0.843011786126853,0.805877419275083,ePC - pTx
pI4 - pSu,78.386210159187,98.9808941364458,73.0,0.791932734524818,0.805877419275083,pI4 - pSu
pI4 - ePC,-183.74326547158,83.9133976736937,63.6019847872927,-2.18967734075177,0.0966695341241535,ePC - pI4
pSu - ePC,-262.129475630767,96.7031462146468,59.603328025255,-2.71066129584793,0.0350313078654691,ePC - pSu
