T_subtype,TIL dysfunction score
Naive/CM T,-0.816800060366307
Naive/CM T,1.22558398176197
Naive/CM T,-0.737860615779347
Naive/CM T,0.637218300602316
Naive/CM T,0.678310571714889
Naive/CM T,1.25140395510608
Naive/CM T,-0.171285924313352
gdT,-0.510360079638297
gdT,0.0240753770630657
Naive/CM T,0.150042127269182
Naive/CM T,0.767865810703441
gdT,1.06562826547763
gdT,0.63568869705684
Naive/CM T,-0.0997593572561466
Naive/CM T,0.0202159061660389
Naive/CM T,0.346112067805284
gdT,0.372419087125685
gdT,1.07052219140857
Naive/CM T,0.819809083622723
Naive/CM T,1.13116631564999
Cytotoxic CD8T,0.709330277177462
Cytotoxic CD8T,1.3217487550269
Proliferating CD8T,-1.01156604382418
Naive/CM T,0.0011382428922646
Naive/CM T,-0.570083591281065
gdT,-0.0858528020938069
Naive/CM T,-0.0396922288266936
gdT,-0.763196545977925
Cytotoxic CD8T,1.55861131938264
Cytotoxic CD8T,0.281427532623484
Naive/CM T,0.473897376809849
Naive/CM T,0.377500823049834
gdT,1.52231704760303
Cytotoxic CD8T,0.344617516999516
gdT,-0.73749333993913
gdT,-0.180853508323578
Naive/CM T,-1.15010721369307
Naive/CM T,1.6623284001851
gdT,1.20780361463185
Cytotoxic CD8T,-0.0861680190104512
Naive/CM T,-0.67440868247303
Cytotoxic CD8T,0.405511830540254
Naive/CM T,-0.810585130176719
Cytotoxic CD8T,0.0902797626390516
Naive/CM T,-0.763752269946495
Naive/CM T,-1.09113266419322
Cytotoxic CD8T,-0.32485113889924
Naive/CM T,0.97259063935767
Cytotoxic CD8T,-0.585544614408787
Naive/CM T,0.297186840076191
Naive/CM T,0.436864709081239
Naive/CM T,0.319793430997755
Naive/CM T,-0.126324635143427
Naive/CM T,-0.69067157079335
gdT,0.0174339555198664
Treg,0.275594429032243
gdT,-0.914044405726835
gdT,0.701150247628962
Naive/CM T,0.478984643238543
gdT,0.679552748977843
Cytotoxic CD8T,1.96144441116687
Treg,1.08400840302266
gdT,0.0647075524037787
gdT,0.0505311662164518
Naive/CM T,-0.0384828770471508
gdT,0.307098363133027
gdT,0.908801053929614
gdT,-0.444041679575881
Cytotoxic CD8T,-0.283283080409495
gdT,-0.814340576645015
Cytotoxic CD8T,0.941328060803403
gdT,0.38439835621657
Naive/CM T,-0.322014605016083
gdT,0.461456828423164
Naive/CM T,-0.671202525864023
Naive/CM T,0.485018560128618
Naive/CM T,-0.909887696925479
Naive/CM T,0.795106784317844
Naive/CM T,-0.213478617301871
Naive/CM T,-0.238355026688686
Cytotoxic CD8T,0.0854445841213278
Cytotoxic CD8T,1.55026648765386
gdT,-0.495775996672594
Proliferating CD8T,1.59709733367554
Naive/CM T,-0.132640183349996
Naive/CM T,-0.702372647071069
Cytotoxic CD8T,-0.584776206954084
Naive/CM T,-0.106463498511391
Cytotoxic CD8T,-0.781589039620419
Cytotoxic CD8T,1.49945376169689
gdT,1.55004827971186
Cytotoxic CD8T,-0.0323791114102793
Naive/CM T,-0.611119459513798
gdT,0.651309718373293
gdT,-1.05523641584959
Cytotoxic CD8T,0.637358191653487
Naive/CM T,1.16150143080987
Naive/CM T,0.556174038328529
gdT,-0.369015138194626
Naive/CM T,-0.0815304231274035
Naive/CM T,0.423156904955831
Naive/CM T,-0.0742444575378977
Cytotoxic CD8T,-0.0697058589631522
Naive/CM T,1.21556614182884
Naive/CM T,-0.240130146260493
Naive/CM T,-0.974320640859677
Naive/CM T,0.238215210573869
Cytotoxic CD8T,-0.315166803377459
Naive/CM T,0.850422475437113
Naive/CM T,0.0717513882164555
Cytotoxic CD8T,2.3629501106203
Naive/CM T,-0.484517770220142
Naive/CM T,0.839615395070802
Cytotoxic CD8T,1.3688815078574
Naive/CM T,0.0819591961753797
gdT,0.573393337150288
Naive/CM T,1.68746720139958
Naive/CM T,0.0831552496084114
Naive/CM T,0.067920194199759
Cytotoxic CD8T,1.45617747827681
Naive/CM T,-0.553390317437008
Naive/CM T,-1.00494021509128
Cytotoxic CD8T,1.19790153960428
Naive/CM T,0.47151633968985
Naive/CM T,-0.215549204868695
Naive/CM T,-0.955156760454345
Naive/CM T,0.517614818946671
Naive/CM T,0.922924871088502
Naive/CM T,-0.137702482867358
Naive/CM T,0.248471406583134
Naive/CM T,2.51942304862562
gdT,0.281583377389188
Cytotoxic CD8T,-0.0376901357756944
Naive/CM T,0.155375356317994
gdT,-0.518607315671032
Naive/CM T,-0.728190108871191
Naive/CM T,0.402759544609129
Proliferating CD8T,1.02858225773387
Naive/CM T,1.03542543482494
Cytotoxic CD8T,1.62311813241583
Cytotoxic CD8T,0.954069652382633
Cytotoxic CD8T,-1.28402792760568
Naive/CM T,0.394835287958404
Naive/CM T,0.534384143444918
Naive/CM T,1.88282141709008
Naive/CM T,0.147520029015571
Cytotoxic CD8T,0.00389090720157203
Naive/CM T,-0.627391696228285
Naive/CM T,0.387921079268667
Naive/CM T,0.122123426581201
Naive/CM T,-0.481496516544269
Cytotoxic CD8T,1.25300127826499
Naive/CM T,0.818739272071241
Naive/CM T,-0.50865873238669
Naive/CM T,0.22723362057708
Naive/CM T,0.0993475077268184
Naive/CM T,0.0290665354335535
gdT,-0.46293643933942
Naive/CM T,-0.330160176611181
Naive/CM T,0.513389318572374
Naive/CM T,-0.857269665319538
Naive/CM T,-0.809750401696493
Naive/CM T,0.356323933080521
Naive/CM T,-0.451242674396775
Naive/CM T,0.608214572586586
Naive/CM T,-0.0409197850996883
Cytotoxic CD8T,0.533264629264546
Naive/CM T,-1.18267148040061
Naive/CM T,-1.27715177314226
Naive/CM T,-0.313478358284195
Naive/CM T,1.77932148907199
Naive/CM T,0.343912304077793
Naive/CM T,-0.493603694262514
gdT,0.753816195992704
Cytotoxic CD8T,2.08339383082964
Naive/CM T,-0.136692517571587
gdT,1.82809930791982
Naive/CM T,-0.382202976433805
Cytotoxic CD8T,1.71465057147229
Naive/CM T,-0.139708955158558
