T_subtype,Cytotoxicity score
Naive/CM T,-0.349851934998123
Naive/CM T,-0.486256745126512
Naive/CM T,0.337996426923775
Naive/CM T,-0.547518738993892
Naive/CM T,1.07544334435168
Naive/CM T,0.718412896733225
gdT,0.614442251346729
gdT,0.95053031709459
Naive/CM T,0.98274439058186
Naive/CM T,-0.576663469826733
gdT,1.19979429833682
gdT,1.31624152042247
Naive/CM T,-0.374609252552927
Naive/CM T,0.861995538075764
Naive/CM T,1.26829835514963
gdT,0.961507697164276
gdT,2.72983688778347
Naive/CM T,0.203348667533309
Naive/CM T,0.256671178488083
Cytotoxic CD8T,1.14809777412885
Cytotoxic CD8T,2.3047030766805
Proliferating CD8T,-0.390079978071613
Naive/CM T,0.398295514377546
Naive/CM T,-0.574483612437307
gdT,1.20943343786545
Naive/CM T,1.14189729867158
gdT,0.730802444764125
Cytotoxic CD8T,1.75155902203218
Cytotoxic CD8T,1.976420128787
Naive/CM T,1.42819139692518
Naive/CM T,1.43730131785074
gdT,1.72544659214255
Cytotoxic CD8T,1.10725178247616
gdT,0.724020051367488
gdT,1.39978035585379
Naive/CM T,-0.368982709484335
Naive/CM T,0.0356800982981553
gdT,2.35186261306574
Cytotoxic CD8T,0.629006353425391
Naive/CM T,0.885134641035103
Cytotoxic CD8T,2.25155398286419
Naive/CM T,0.291102082641036
Cytotoxic CD8T,0.632797041057068
Naive/CM T,-0.0271942144558754
Naive/CM T,0.436719120284657
Cytotoxic CD8T,-0.051743217456488
Naive/CM T,0.728608943797924
Cytotoxic CD8T,-0.299363471843578
Naive/CM T,0.318490411028449
Naive/CM T,0.180118122218567
Naive/CM T,0.447870110288078
Naive/CM T,0.405787924189626
Naive/CM T,0.161555304939364
gdT,0.968246071426956
Treg,-0.706929986859545
gdT,1.00686038864983
gdT,0.91181370947096
Naive/CM T,0.134238260763662
gdT,0.0196295343799355
Cytotoxic CD8T,-0.124115664281962
Treg,-0.396674556496702
gdT,1.00942419782096
gdT,0.520073084183681
Naive/CM T,-0.649104913075764
gdT,0.671617638917616
gdT,1.8164872534481
gdT,-0.500784831282533
Cytotoxic CD8T,0.54089190930496
gdT,1.23953261787508
Cytotoxic CD8T,1.65259747446319
gdT,1.34963795285166
Naive/CM T,-0.524655237609957
gdT,1.98393135011931
Naive/CM T,0.0837624190766135
Naive/CM T,-0.274533869307718
Naive/CM T,0.136097275180581
Naive/CM T,-0.00285472987610613
Naive/CM T,1.50855469114986
Naive/CM T,-0.209862569232045
Cytotoxic CD8T,0.0905326928621457
Cytotoxic CD8T,1.00742570559183
gdT,0.974397376731589
Proliferating CD8T,-0.562108376879751
Naive/CM T,-0.486234329364917
Naive/CM T,-0.544130576981438
Cytotoxic CD8T,0.327095744050579
Naive/CM T,0.0401431307380582
Cytotoxic CD8T,0.000307309774704833
Cytotoxic CD8T,1.07169752062102
gdT,1.26331148912877
Cytotoxic CD8T,0.367501529646508
