neigh_kmeans,Neuroblast,Endothelial,Fibroblast,Schwann,Macrophage,B,T
12,0.924370158590523,0.0141668499376878,0.00545536739730713,0.000891918969772499,0.0303680082105417,0.00767905578769884,0.0170686411064682
1,0.919059067826349,0.00474758343073081,0.00642968385212597,0.00125867514290603,0.0437752133802388,0.00349760880724579,0.0212321675604033
7,0.905892985106645,0.00892323281193659,0.00675518391901082,0.00120041443966205,0.0498879461045866,0.00372447978237353,0.0236157578357851
2,0.80495436505953,0.0479141883178551,0.0250517329281337,0.00403866723981086,0.0874511411234292,0.00178940949486669,0.0288004958363739
10,0.748030111158013,0.0388701280427747,0.0608554945828056,0.0222316026452793,0.121077810609258,0.00274377374419586,0.00619107921767271
17,0.730322621139844,0.0450194576952046,0.0602247049962339,0.0527711523976901,0.107566532764248,0.000392292242028621,0.00370323876475018
6,0.709248638551998,0.0571479308621188,0.0226579148141327,0.00369629843992528,0.105581279103417,0.0308529109994475,0.07081502722896
14,0.705335132703553,0.0619343229869545,0.0499685110211426,0.0157085020242915,0.104561403508771,0.0125596041385515,0.0499325236167341
18,0.620801837853861,0.0328071735586186,0.0289313769082555,0.0045501704461242,0.16210908551949,0.022358085074848,0.128442270638802
16,0.542202382432667,0.103479147496953,0.0715848897067966,0.0345054835741463,0.143418467583497,0.0188132600532192,0.0859963691527194
19,0.416467157489244,0.0860979605061832,0.0625438770183428,0.00703832376289309,0.214533868557953,0.0590787176210105,0.154240095044372
3,0.399017274810505,0.0845231799753217,0.182487220165697,0.137140842587696,0.185682178741406,0.00118984664198836,0.0099594570773841
11,0.313998462085824,0.116112520228162,0.117696342289196,0.0341898979697237,0.227645728845072,0.0366459698614729,0.153711078720547
13,0.0773162125786621,0.228338365283183,0.298925102760903,0.0665490524171547,0.227247099050598,0.0192244734640427,0.0823996944454548
15,0.0704855988196805,0.0869330938482263,0.213830264930399,0.415177368657386,0.193225992687151,0.00168067226890756,0.0186670087882481
5,0.0246945315579318,0.0879303549089164,0.612016520144636,0.0694223090500916,0.154507908762188,0.0121844635237262,0.039243912052508
8,0.160166573236165,0.0562184672058941,0.129174341314967,0.000800832866180828,0.596940818451189,0.00488508048370305,0.0518138864418995
9,0.125138984486683,0.0993011065812463,0.112034732885053,0.0584661407317202,0.158283475406364,0.197980092126859,0.248795467782072
0,0.0922601419386799,0.0933909129090967,0.0985063053943159,0.00519077721658033,0.286472748419612,0.108090935524516,0.316088178597197
4,0.0676782800329727,0.0805813973049812,0.0529246505055263,0.0120283296603468,0.153609340040038,0.136769678515552,0.496408323940581
