contrast,estimate,SE,df,t.ratio,p.value,comp_key
pTx - pI4,112.754726324955,38.7708424958694,54.9541345987698,2.90823513409511,0.0209391193374415,pI4 - pTx
pTx - pSu,182.413372062372,46.0707516786069,63.0250411669954,3.95941818650804,0.00116196290811525,pSu - pTx
pTx - ePC,22.7678742471716,38.143873947992,53.9386705064916,0.596894648881624,0.55307503859652,ePC - pTx
pI4 - pSu,69.6586457374169,50.5033249945999,72.9966913192969,1.37928830913341,0.344034216721375,pI4 - pSu
pI4 - ePC,-89.9868520777834,42.7643398658285,63.5052842075862,-2.10424976417533,0.117963066348323,ePC - pI4
pSu - ePC,-159.6454978152,49.2621570890523,59.4455393242071,-3.24073299361628,0.00977510760975768,ePC - pSu
