source,neighbor,obs,exp_perm,log2_oe,z,p,q,significant,low_expected,sample
Endothelial,Endothelial,15387,2628.0296,2.5492034444177,194.78479864843,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Endothelial,Fibroblast,5785,3076.019,0.911032971204391,51.6986017456195,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Endothelial,Schwann,175,325.033,-0.889442567884753,-8.62019046176892,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Endothelial,Neuroblast,7145,21705.2836,-1.60290491977699,-146.525033396591,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Endothelial,Macrophage,6563,7951.831,-0.276893274706103,-17.5757453758227,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Endothelial,B,164,120.5618,0.44077608194603,4.09473437643185,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Endothelial,T,2323,1735.242,0.420642021958044,14.4894322754796,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Fibroblast,Endothelial,6504,3075.342,1.08033315888488,65.4153078153868,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Fibroblast,Fibroblast,12963,3599.1468,1.84838328540246,123.264220772088,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Fibroblast,Schwann,810,379.8906,1.09032523037622,22.8429170076531,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Fibroblast,Neuroblast,8028,25404.6968,-1.66185981483497,-164.684277037837,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Fibroblast,Macrophage,12015,9306.1464,0.368545912052804,32.3056374052883,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Fibroblast,B,304,140.6716,1.10625866328789,14.1986397523648,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Fibroblast,T,3314,2032.1058,0.705323577357015,29.3809796911114,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Schwann,Endothelial,217,325.0378,-0.580711101574285,-6.31131718958765,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Schwann,Fibroblast,830,379.795,1.12583394142371,24.4225553243431,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Schwann,Schwann,2455,39.7448,5.91355080139454,290.67310946236,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Schwann,Neuroblast,117,2681.7378,-4.50684729357939,-76.9161674043993,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Schwann,Macrophage,941,982.2126,-0.0617763443194629,-1.47947109497541,0.150369926014797,0.150369926014797,False,False,Patient1_PT
Schwann,B,2,14.9654,-2.41191429306777,-3.33710076267823,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Schwann,T,76,214.5066,-1.4848017023453,-9.70315019940279,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Neuroblast,Endothelial,8033,21705.4316,-1.43393220901395,-106.258088723139,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Neuroblast,Fibroblast,8298,25401.7586,-1.61397576183808,-125.807138724595,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Neuroblast,Schwann,132,2681.643,-4.33415692597387,-57.898775392033,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Neuroblast,Neuroblast,254087,179307.6504,0.502883151860349,256.152619726836,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Neuroblast,Macrophage,31852,65680.2412,-1.04405213473069,-156.15206672502,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Neuroblast,B,343,996.0464,-1.53525208061108,-23.7275553012693,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Neuroblast,T,7365,14337.2288,-0.960913516718957,-66.7851658181605,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Macrophage,Endothelial,7130,7952.3096,-0.157450928082999,-9.91515762577888,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Macrophage,Fibroblast,11980,9305.2872,0.364470712696042,30.1203029005865,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Macrophage,Schwann,917,982.7942,-0.0998623959780605,-2.17067608521798,0.0311937612477504,0.0318436312737452,True,False,Patient1_PT
Macrophage,Neuroblast,31714,65684.1492,-1.05040188534262,-188.236108346865,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Macrophage,Macrophage,55158,24061.7226,1.19679641500854,180.077766662215,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Macrophage,B,429,364.9236,0.232794195476892,3.5347002149094,0.0011997600479904,0.00125081366705382,True,False,Patient1_PT
Macrophage,T,6276,5252.8136,0.256710192904347,15.0230525423847,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
B,Endothelial,179,120.4768,0.567316096599575,5.55704311189331,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
B,Fibroblast,325,140.7726,1.20129323063623,16.3317741799748,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
B,Schwann,2,14.9292,-2.40863940748175,-3.35537283220543,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
B,Neuroblast,322,995.757,-1.62570766706144,-33.1239309214714,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
B,Macrophage,452,364.8072,0.308427579061128,5.15315931749016,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
B,B,139,5.4972,4.4294649013301,42.7340977938326,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
B,T,303,79.76,1.91235850788683,26.0140545710213,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
T,Endothelial,2562,1735.5898,0.56157646343787,20.4966154538093,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
T,Fibroblast,3354,2032.3768,0.722435184237885,30.529957174817,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
