source,neighbor,mean_log2_oe,mean_obs,pct_sig,sd_log2_oe,iqr_log2_oe,consensus_sig,min_samples_sig_threshold_pct
B,B,3.298594089692152,7663.4,70.0,1.2611989094745415,1.58826056095771,True,50.0
B,Endothelial,-0.12883668309250562,1809.3,80.0,0.7653688048935527,1.0269752934618386,True,50.0
B,Fibroblast,0.35164031785351135,2645.4,80.0,0.6980329620621509,0.29158395679518795,True,50.0
B,Macrophage,0.3828363563269635,5833.7,90.0,0.43207501612700966,0.4510987417301739,True,50.0
B,Neuroblast,-1.5346208270716009,7264.9,100.0,0.447477961001775,0.4040562179051701,True,50.0
B,Schwann,-0.4026724835876222,694.0,90.0,0.8419863112266841,0.5467308339696868,True,50.0
B,T,1.5116808302795197,9748.5,100.0,0.7385674309727422,0.9901555395192807,True,50.0
Endothelial,B,-0.1671944243384725,1864.4,100.0,0.721048368244108,0.8345485129705468,True,50.0
Endothelial,Endothelial,2.480549667901082,28818.5,100.0,0.8683002406938822,0.4797332969000374,True,50.0
Endothelial,Fibroblast,0.46059078219581967,10122.6,100.0,0.6903692249609862,0.8763996497543811,True,50.0
Endothelial,Macrophage,0.06044784359148987,11203.5,100.0,0.5077014554359095,0.4207860243135565,True,50.0
Endothelial,Neuroblast,-1.735535194296594,11100.9,100.0,0.49538443075284294,0.8211774763034025,True,50.0
Endothelial,Schwann,-0.040423182078775946,2585.4,70.0,0.6812731279088602,0.9476878573936218,True,50.0
Endothelial,T,0.0763616674181706,7360.1,100.0,0.7755507770487104,0.6535216536772596,True,50.0
Fibroblast,B,0.3907083722247885,2707.8,90.0,0.6898591696235802,0.25950035728368603,True,50.0
Fibroblast,Endothelial,0.588200444648686,10923.3,100.0,0.6298522942643187,0.8761565005208635,True,50.0
Fibroblast,Fibroblast,1.7794371972728982,35189.2,100.0,1.0036774329610358,1.2111842311405177,True,50.0
Fibroblast,Macrophage,0.3656032021444256,17986.5,100.0,0.3919885214429513,0.29233416907048076,True,50.0
Fibroblast,Neuroblast,-1.9041507007388092,12916.6,100.0,0.6296517471499476,0.6391589421313602,True,50.0
Fibroblast,Schwann,0.6858544079416311,8300.8,100.0,0.7481182574854348,0.7513009055227498,True,50.0
Fibroblast,T,0.44540740210307295,8968.2,100.0,0.567391727389844,0.28782292191545455,True,50.0
Macrophage,B,0.3942953396262022,5915.2,90.0,0.4298101281951258,0.4577272738430693,True,50.0
Macrophage,Endothelial,0.1542227309315513,11646.4,90.0,0.43684925018208676,0.430250570860451,True,50.0
Macrophage,Fibroblast,0.34818440144320983,17786.6,100.0,0.3930175761571634,0.32241427444568777,True,50.0
Macrophage,Macrophage,1.1905406309026678,55285.2,100.0,0.6061425430891427,0.40277004831982655,True,50.0
Macrophage,Neuroblast,-0.9744490669624172,39471.9,100.0,0.2049964259286446,0.23565448684635437,True,50.0
Macrophage,Schwann,0.30021520446392086,7227.3,90.0,0.3288278092724273,0.453482554340134,True,50.0
Macrophage,T,0.4467146403753553,19640.0,90.0,0.4156266766321643,0.3092942053077055,True,50.0
Neuroblast,B,-1.5670880015372795,7220.9,100.0,0.5144201881321554,0.516193591696795,True,50.0
Neuroblast,Endothelial,-1.6851594815369726,11277.3,100.0,0.5093602113271012,0.8337799904039327,True,50.0
Neuroblast,Fibroblast,-2.016449049212544,12111.9,100.0,0.6953478044971941,0.6697250979878775,True,50.0
Neuroblast,Macrophage,-1.0548289724261486,37890.5,100.0,0.20904939053297944,0.32797485387357883,True,50.0
Neuroblast,Neuroblast,0.8153257650288183,634775.3,100.0,0.36566516006067895,0.5168114342919102,True,50.0
Neuroblast,Schwann,-1.3221925138597626,6192.6,100.0,1.3933223400871726,0.9063891057469153,True,50.0
Neuroblast,T,-1.3892819738773787,22918.5,100.0,0.41451045459935093,0.42261145601346484,True,50.0
Schwann,B,-0.3807641518641991,725.1,90.0,0.8809693300846767,0.6298851017006978,True,50.0
Schwann,Endothelial,0.12217734289657067,2954.1,80.0,0.6432641076938028,0.9525082467891357,True,50.0
Schwann,Fibroblast,0.681904140136857,8245.9,90.0,0.7670390150669122,0.8175345209913047,True,50.0
Schwann,Macrophage,0.30681974167648834,7268.3,80.0,0.33647091354784064,0.4275516270749547,True,50.0
Schwann,Neuroblast,-1.2815219659229913,6677.3,100.0,1.4657231373651458,0.8599617717386329,True,50.0
Schwann,Schwann,2.969769543571994,13873.7,100.0,1.7292627688117153,2.289249798087487,True,50.0
Schwann,T,-0.25360793534111353,1898.6,100.0,0.7269672053252623,0.5756252872962588,True,50.0
T,B,1.5245408843149082,9702.4,100.0,0.7465976738902125,0.9349570001198563,True,50.0
T,Endothelial,0.13203648636431148,7113.2,90.0,0.7222598264830782,0.6737896181758632,True,50.0
T,Fibroblast,0.4146381025225466,8768.6,100.0,0.5771331145595313,0.34005276859801825,True,50.0
T,Macrophage,0.42918992853083254,19312.8,100.0,0.4218519647550743,0.282346756860694,True,50.0
T,Neuroblast,-1.3159868541317281,23030.6,100.0,0.3295211114380574,0.2946113160064223,True,50.0
T,Schwann,-0.3025754155700664,1829.1,100.0,0.7317978953605976,0.6350072786720555,True,50.0
T,T,1.965426051742536,37320.5,100.0,0.7112266852489592,1.0350343301551,True,50.0
