id,umap1,umap2,celltype
3529_Patient1_0DPHBP,9.534911,7.7155366,Endothelial
3539_Patient1_0DPHBP,8.014764,7.4637113,Endothelial
3604_Patient1_0DPHBP,7.482346,7.2617054,Endothelial
3731_Patient1_0DPHBP,9.229265,8.541471,Endothelial
3732_Patient1_0DPHBP,8.437087,7.3650217,Endothelial
3733_Patient1_0DPHBP,9.902626,7.8322873,Endothelial
3734_Patient1_0DPHBP,7.8888474,7.2865305,Endothelial
3763_Patient1_0DPHBP,10.018546,7.4176903,Endothelial
3764_Patient1_0DPHBP,9.57364,7.0608025,Endothelial
3766_Patient1_0DPHBP,10.376395,6.8071923,Endothelial
4158_Patient1_0DPHBP,10.400413,6.767317,Endothelial
4172_Patient1_0DPHBP,9.670375,6.9575114,Endothelial
4175_Patient1_0DPHBP,10.299917,5.4514284,Endothelial
4331_Patient1_0DPHBP,9.696511,6.6007633,Endothelial
4334_Patient1_0DPHBP,9.489731,6.804969,Endothelial
4368_Patient1_0DPHBP,9.613276,6.542764,Endothelial
4448_Patient1_0DPHBP,10.321462,6.09914,Endothelial
4503_Patient1_0DPHBP,10.79499,5.32852,Endothelial
4509_Patient1_0DPHBP,10.735499,6.449624,Endothelial
4630_Patient1_0DPHBP,9.920866,8.078552,Endothelial
4631_Patient1_0DPHBP,9.252034,8.288372,Endothelial
4634_Patient1_0DPHBP,9.3805275,6.967979,Endothelial
4722_Patient1_0DPHBP,9.682013,5.3148065,Endothelial
4742_Patient1_0DPHBP,9.735243,6.4814997,Endothelial
4743_Patient1_0DPHBP,9.511897,8.513986,Endothelial
4744_Patient1_0DPHBP,8.915729,8.194743,Endothelial
4758_Patient1_0DPHBP,7.9299073,7.2767487,Endothelial
4759_Patient1_0DPHBP,8.80875,7.5566463,Endothelial
4852_Patient1_0DPHBP,10.032775,8.049778,Endothelial
4898_Patient1_0DPHBP,10.373286,6.0642076,Endothelial
4901_Patient1_0DPHBP,10.452966,7.0722723,Endothelial
4944_Patient1_0DPHBP,9.7635145,7.9010806,Endothelial
4946_Patient1_0DPHBP,10.042413,6.1848326,Endothelial
4951_Patient1_0DPHBP,10.449966,7.1179514,Endothelial
4952_Patient1_0DPHBP,7.723148,6.850976,Endothelial
4953_Patient1_0DPHBP,8.505145,6.6881456,Endothelial
4978_Patient1_0DPHBP,11.072601,3.8829005,Endothelial
5020_Patient1_0DPHBP,9.564926,7.7905183,Endothelial
5021_Patient1_0DPHBP,7.9591064,6.1812835,Endothelial
5037_Patient1_0DPHBP,10.264759,6.662923,Endothelial
5141_Patient1_0DPHBP,10.797468,5.846639,Endothelial
5142_Patient1_0DPHBP,10.025664,7.049775,Endothelial
5143_Patient1_0DPHBP,9.99897,6.979805,Endothelial
5144_Patient1_0DPHBP,10.548289,6.6085644,Endothelial
5297_Patient1_0DPHBP,9.642742,7.8020635,Endothelial
5304_Patient1_0DPHBP,9.245352,8.321426,Endothelial
5327_Patient1_0DPHBP,10.713612,6.0201573,Endothelial
5329_Patient1_0DPHBP,9.96205,7.478349,Endothelial
5330_Patient1_0DPHBP,10.408238,7.220315,Endothelial
5331_Patient1_0DPHBP,10.406974,7.919647,Endothelial
5332_Patient1_0DPHBP,10.172594,6.591111,Endothelial
5340_Patient1_0DPHBP,8.206524,7.023917,Endothelial
5341_Patient1_0DPHBP,9.722314,8.417441,Endothelial
5380_Patient1_0DPHBP,10.700857,5.7344093,Endothelial
5397_Patient1_0DPHBP,10.008927,7.607488,Endothelial
5398_Patient1_0DPHBP,10.26064,5.9390345,Endothelial
5399_Patient1_0DPHBP,9.976074,7.028118,Endothelial
5402_Patient1_0DPHBP,10.0521,7.473875,Endothelial
5479_Patient1_0DPHBP,10.138402,6.110299,Endothelial
5480_Patient1_0DPHBP,10.294161,7.193042,Endothelial
5481_Patient1_0DPHBP,9.851713,8.532178,Endothelial
5497_Patient1_0DPHBP,8.801709,7.352691,Endothelial
5504_Patient1_0DPHBP,10.319777,6.201468,Endothelial
5506_Patient1_0DPHBP,10.037131,8.065228,Endothelial
5507_Patient1_0DPHBP,10.9274,5.9168873,Endothelial
5509_Patient1_0DPHBP,9.704485,8.735144,Endothelial
5645_Patient1_0DPHBP,9.241326,6.545209,Endothelial
5647_Patient1_0DPHBP,10.031363,6.6327257,Endothelial
5652_Patient1_0DPHBP,9.628386,6.3999596,Endothelial
5670_Patient1_0DPHBP,9.715837,8.525339,Endothelial
5671_Patient1_0DPHBP,10.13174,6.1110225,Endothelial
5726_Patient1_0DPHBP,10.085737,5.9092507,Endothelial
5755_Patient1_0DPHBP,10.326031,5.7312403,Endothelial
5848_Patient1_0DPHBP,9.2846365,8.603666,Endothelial
5849_Patient1_0DPHBP,9.680239,5.444575,Endothelial
5864_Patient1_0DPHBP,9.577828,7.82641,Endothelial
5867_Patient1_0DPHBP,10.603484,6.30403,Endothelial
5873_Patient1_0DPHBP,9.75995,7.8009295,Endothelial
5907_Patient1_0DPHBP,10.003718,8.382635,Endothelial
5923_Patient1_0DPHBP,9.909524,8.195178,Endothelial
5960_Patient1_0DPHBP,10.116973,6.972376,Endothelial
6055_Patient1_0DPHBP,7.844377,6.5909286,Endothelial
6076_Patient1_0DPHBP,9.4655075,7.964364,Endothelial
6077_Patient1_0DPHBP,9.362482,8.650323,Endothelial
6078_Patient1_0DPHBP,10.08305,7.630448,Endothelial
6114_Patient1_0DPHBP,9.690147,6.5410333,Endothelial
6116_Patient1_0DPHBP,8.899293,7.2657347,Endothelial
6131_Patient1_0DPHBP,10.252723,7.6867313,Endothelial
6196_Patient1_0DPHBP,9.315998,6.822568,Endothelial
6198_Patient1_0DPHBP,9.783429,7.197638,Endothelial
6260_Patient1_0DPHBP,7.768058,6.90549,Endothelial
6262_Patient1_0DPHBP,8.984278,6.900307,Endothelial
6264_Patient1_0DPHBP,9.291905,6.6321287,Endothelial
6301_Patient1_0DPHBP,9.525682,7.9865994,Endothelial
6305_Patient1_0DPHBP,9.603048,8.099058,Endothelial
6567_Patient1_0DPHBP,10.817884,6.0419927,Endothelial
6579_Patient1_0DPHBP,10.3531,7.1750546,Endothelial
6580_Patient1_0DPHBP,9.711049,7.150863,Endothelial
6586_Patient1_0DPHBP,10.619861,6.5416517,Endothelial
6587_Patient1_0DPHBP,10.006008,7.052768,Endothelial
6652_Patient1_0DPHBP,10.146476,7.3310757,Endothelial
6719_Patient1_0DPHBP,10.447347,7.6833763,Endothelial
6720_Patient1_0DPHBP,9.332967,6.798075,Endothelial
6730_Patient1_0DPHBP,10.433909,6.921222,Endothelial
6731_Patient1_0DPHBP,9.962445,7.9888954,Endothelial
6733_Patient1_0DPHBP,9.287483,8.239392,Endothelial
6734_Patient1_0DPHBP,9.841223,7.9070992,Endothelial
6736_Patient1_0DPHBP,10.103357,6.12355,Endothelial
6743_Patient1_0DPHBP,10.470713,5.742091,Endothelial
6746_Patient1_0DPHBP,8.999418,7.1758184,Endothelial
6778_Patient1_0DPHBP,9.576626,4.9486537,Endothelial
6790_Patient1_0DPHBP,7.5050554,7.1682143,Endothelial
6796_Patient1_0DPHBP,9.199026,6.5667253,Endothelial
6890_Patient1_0DPHBP,9.652669,7.3051867,Endothelial
6891_Patient1_0DPHBP,9.828435,6.9783616,Endothelial
6893_Patient1_0DPHBP,10.470069,5.769217,Endothelial
6974_Patient1_0DPHBP,9.999038,6.8651514,Endothelial
7037_Patient1_0DPHBP,10.684897,6.079539,Endothelial
7087_Patient1_0DPHBP,9.824121,6.55131,Endothelial
7157_Patient1_0DPHBP,9.988287,7.6352854,Endothelial
7159_Patient1_0DPHBP,8.783456,7.5761385,Endothelial
7178_Patient1_0DPHBP,9.924218,7.6600494,Endothelial
7179_Patient1_0DPHBP,8.037079,6.30509,Endothelial
7180_Patient1_0DPHBP,9.338644,8.151579,Endothelial
7181_Patient1_0DPHBP,10.181725,6.838427,Endothelial
7201_Patient1_0DPHBP,10.602242,6.561034,Endothelial
7207_Patient1_0DPHBP,9.153908,8.4126835,Endothelial
7208_Patient1_0DPHBP,10.340433,7.3249974,Endothelial
7210_Patient1_0DPHBP,9.533819,7.0090313,Endothelial
7259_Patient1_0DPHBP,9.322085,7.636816,Endothelial
7260_Patient1_0DPHBP,9.377879,7.6272793,Endothelial
7306_Patient1_0DPHBP,9.818166,7.1005163,Endothelial
7317_Patient1_0DPHBP,9.379032,7.434446,Endothelial
7355_Patient1_0DPHBP,10.566555,6.7681775,Endothelial
7383_Patient1_0DPHBP,8.611268,6.938228,Endothelial
7390_Patient1_0DPHBP,8.782401,8.351789,Endothelial
7394_Patient1_0DPHBP,9.084848,7.0865855,Endothelial
7455_Patient1_0DPHBP,9.439832,7.044562,Endothelial
7459_Patient1_0DPHBP,10.219599,5.81853,Endothelial
7460_Patient1_0DPHBP,9.36641,8.531414,Endothelial
7513_Patient1_0DPHBP,9.034838,7.4566307,Endothelial
7516_Patient1_0DPHBP,10.373001,5.8287735,Endothelial
7518_Patient1_0DPHBP,9.243854,6.0762653,Endothelial
7526_Patient1_0DPHBP,9.685887,6.779449,Endothelial
7527_Patient1_0DPHBP,7.3414764,7.003067,Endothelial
7528_Patient1_0DPHBP,10.278935,7.2000437,Endothelial
7688_Patient1_0DPHBP,10.024395,8.278457,Endothelial
7689_Patient1_0DPHBP,10.055502,7.414847,Endothelial
7690_Patient1_0DPHBP,9.016193,7.5904803,Endothelial
7691_Patient1_0DPHBP,9.833652,8.613222,Endothelial
7692_Patient1_0DPHBP,9.803654,6.8102756,Endothelial
7693_Patient1_0DPHBP,9.619337,5.321544,Endothelial
7694_Patient1_0DPHBP,9.0966215,6.045164,Endothelial
7703_Patient1_0DPHBP,9.461485,8.073804,Endothelial
7711_Patient1_0DPHBP,9.719346,7.8848853,Endothelial
7712_Patient1_0DPHBP,9.474135,7.9811726,Endothelial
7713_Patient1_0DPHBP,9.184938,7.687465,Endothelial
7714_Patient1_0DPHBP,9.040786,6.6218815,Endothelial
7721_Patient1_0DPHBP,10.729317,5.93166,Endothelial
7732_Patient1_0DPHBP,8.514425,7.1658115,Endothelial
7734_Patient1_0DPHBP,7.8371644,6.8251004,Endothelial
7735_Patient1_0DPHBP,8.779277,8.116581,Endothelial
7766_Patient1_0DPHBP,9.787952,7.8106856,Endothelial
7871_Patient1_0DPHBP,9.889834,7.049157,Endothelial
7958_Patient1_0DPHBP,9.322426,8.636987,Endothelial
8004_Patient1_0DPHBP,10.278325,7.751166,Endothelial
8079_Patient1_0DPHBP,9.1845,8.238668,Endothelial
8080_Patient1_0DPHBP,9.055964,8.379365,Endothelial
8081_Patient1_0DPHBP,10.372175,6.888193,Endothelial
8083_Patient1_0DPHBP,10.526553,7.0200067,Endothelial
8084_Patient1_0DPHBP,10.692529,6.489102,Endothelial
8085_Patient1_0DPHBP,9.925776,7.5748897,Endothelial
8086_Patient1_0DPHBP,9.518941,8.5046625,Endothelial
8140_Patient1_0DPHBP,9.835302,8.438749,Endothelial
8165_Patient1_0DPHBP,9.568957,7.0591326,Endothelial
8167_Patient1_0DPHBP,9.498462,7.2979293,Endothelial
8177_Patient1_0DPHBP,9.203596,6.690407,Endothelial
8181_Patient1_0DPHBP,9.660901,6.401221,Endothelial
8200_Patient1_0DPHBP,8.851835,7.348848,Endothelial
8227_Patient1_0DPHBP,9.07691,6.528728,Endothelial
8260_Patient1_0DPHBP,10.03013,7.545343,Endothelial
8261_Patient1_0DPHBP,10.52803,6.750034,Endothelial
8263_Patient1_0DPHBP,9.583221,7.874934,Endothelial
8265_Patient1_0DPHBP,10.268922,7.8609195,Endothelial
8266_Patient1_0DPHBP,10.50673,6.68764,Endothelial
8457_Patient1_0DPHBP,8.981482,7.224174,Endothelial
8513_Patient1_0DPHBP,9.719669,5.9463925,Endothelial
8679_Patient1_0DPHBP,9.070369,6.6494985,Endothelial
8699_Patient1_0DPHBP,10.552611,6.6151085,Endothelial
8700_Patient1_0DPHBP,7.6102037,6.720804,Endothelial
8702_Patient1_0DPHBP,9.908894,6.4835815,Endothelial
8723_Patient1_0DPHBP,7.6115003,6.9723673,Endothelial
8724_Patient1_0DPHBP,9.724405,7.8691406,Endothelial
8777_Patient1_0DPHBP,9.710386,6.3845453,Endothelial
8823_Patient1_0DPHBP,9.968726,5.2281084,Endothelial
8831_Patient1_0DPHBP,9.404487,7.488873,Endothelial
