Plot_Type,Plot_ID,T_subtype,Top_N,Weighting,B,Endothelial,Fibroblast,Macrophage,Neuroblast,Schwann,T
consensus,consensus,Cytotoxic T,10,equal,0.0501747292413945,0.0968771691040253,0.13258414730779,0.277558449304822,0.118613137482844,0.0559499908676225,0.2682423766915
consensus,consensus,Naive/CM T,10,equal,0.0638854410330683,0.0902757257890741,0.187312838578034,0.200719512847738,0.156149034439097,0.0471865147800865,0.254470932532901
consensus,consensus,Proliferating T,10,equal,0.084385977960608,0.0801120840321238,0.108052308309875,0.189007502463039,0.19762237403897,0.0525635470095182,0.288256206185863
consensus,consensus,Treg,10,equal,0.0595601662384506,0.0613620777874326,0.0537998631092335,0.182283882923535,0.415471782845012,0.0114879964901544,0.21603423060618
consensus,consensus,gdT,10,equal,0.0339574392548219,0.0716331492245011,0.0769354259151472,0.161255987909361,0.451557519202198,0.0353317736016512,0.169328704892317
