id,umap1,umap2,T_subtype
544_Patient1_0DPHBP,4.670091,3.5397975,Naive/CM T
569_Patient1_0DPHBP,1.7696202,4.5999403,Naive/CM T
582_Patient1_0DPHBP,1.3644569,4.8224897,gdT
588_Patient1_0DPHBP,4.1570864,1.6315405,Cytotoxic T
614_Patient1_0DPHBP,0.6067642,5.3490496,gdT
623_Patient1_0DPHBP,3.3964052,5.6046414,Naive/CM T
640_Patient1_0DPHBP,3.1683743,5.920812,Naive/CM T
704_Patient1_0DPHBP,4.398672,6.6556726,Naive/CM T
728_Patient1_0DPHBP,5.3581347,1.9414753,Naive/CM T
730_Patient1_0DPHBP,2.3259766,-0.8273332,Naive/CM T
731_Patient1_0DPHBP,6.466493,0.0829148,Naive/CM T
734_Patient1_0DPHBP,1.5605234,6.54433,gdT
769_Patient1_0DPHBP,3.9639394,4.040487,Naive/CM T
771_Patient1_0DPHBP,3.2788453,7.9807553,Naive/CM T
773_Patient1_0DPHBP,3.4895563,1.9186368,Cytotoxic T
774_Patient1_0DPHBP,4.531756,2.513855,Cytotoxic T
775_Patient1_0DPHBP,1.5035645,1.9077324,gdT
776_Patient1_0DPHBP,2.5842514,2.5766966,gdT
777_Patient1_0DPHBP,5.4957376,3.5089638,Naive/CM T
778_Patient1_0DPHBP,5.6616693,2.9629433,Naive/CM T
779_Patient1_0DPHBP,3.676042,6.605589,Naive/CM T
780_Patient1_0DPHBP,3.3892744,6.0201144,Treg
782_Patient1_0DPHBP,1.6338403,5.6995254,gdT
783_Patient1_0DPHBP,3.6334972,6.52239,Naive/CM T
786_Patient1_0DPHBP,3.0341542,7.497139,Naive/CM T
788_Patient1_0DPHBP,3.3391392,1.996577,Cytotoxic T
790_Patient1_0DPHBP,1.5245239,5.1697216,gdT
793_Patient1_0DPHBP,2.1464238,-0.19268449,Naive/CM T
798_Patient1_0DPHBP,3.4829,3.851347,Naive/CM T
801_Patient1_0DPHBP,3.2719321,3.8675983,Cytotoxic T
812_Patient1_0DPHBP,0.9264059,5.6162457,gdT
818_Patient1_0DPHBP,6.057672,3.1363046,Naive/CM T
819_Patient1_0DPHBP,2.017748,3.1020439,Cytotoxic T
820_Patient1_0DPHBP,7.229226,2.4132311,Naive/CM T
822_Patient1_0DPHBP,0.9607717,5.325645,gdT
823_Patient1_0DPHBP,4.3801036,2.8077264,Cytotoxic T
824_Patient1_0DPHBP,3.2045789,7.418764,Naive/CM T
832_Patient1_0DPHBP,0.9836894,5.364191,gdT
833_Patient1_0DPHBP,1.8381772,5.910499,Naive/CM T
834_Patient1_0DPHBP,2.7977555,8.197644,Naive/CM T
836_Patient1_0DPHBP,4.3184385,2.3167949,Naive/CM T
838_Patient1_0DPHBP,0.16865355,3.285469,Cytotoxic T
839_Patient1_0DPHBP,1.8761435,4.3272576,Naive/CM T
840_Patient1_0DPHBP,0.5064677,3.78822,Proliferating T
841_Patient1_0DPHBP,0.85429496,4.2086415,gdT
910_Patient1_0DPHBP,5.080785,-0.45809498,Naive/CM T
911_Patient1_0DPHBP,4.4839153,3.5068412,Naive/CM T
912_Patient1_0DPHBP,5.112342,2.2289515,Naive/CM T
913_Patient1_0DPHBP,5.0484133,-1.3387693,Naive/CM T
914_Patient1_0DPHBP,4.664784,-0.726565,Proliferating T
915_Patient1_0DPHBP,6.296091,1.0824308,Naive/CM T
924_Patient1_0DPHBP,1.3289279,5.0230494,Naive/CM T
930_Patient1_0DPHBP,4.1397147,1.851801,Cytotoxic T
953_Patient1_0DPHBP,3.196421,5.344512,Treg
960_Patient1_0DPHBP,3.332191,6.13739,Treg
962_Patient1_0DPHBP,4.622975,2.718869,Naive/CM T
966_Patient1_0DPHBP,1.8673953,5.184897,Naive/CM T
970_Patient1_0DPHBP,-1.6973747,2.4107797,Cytotoxic T
979_Patient1_0DPHBP,2.076343,5.9972506,Naive/CM T
984_Patient1_0DPHBP,3.897939,3.9989963,Naive/CM T
985_Patient1_0DPHBP,1.436966,6.6077814,Naive/CM T
986_Patient1_0DPHBP,2.673021,7.034576,Naive/CM T
989_Patient1_0DPHBP,2.111595,5.7323437,Naive/CM T
991_Patient1_0DPHBP,3.631151,1.656329,Cytotoxic T
999_Patient1_0DPHBP,2.7526894,0.3467749,Cytotoxic T
1018_Patient1_0DPHBP,1.030037,4.632554,gdT
1020_Patient1_0DPHBP,1.6008117,-0.6884376,Cytotoxic T
1023_Patient1_0DPHBP,3.0994396,5.3455157,Treg
1024_Patient1_0DPHBP,2.5591056,4.031303,Naive/CM T
1029_Patient1_0DPHBP,4.113165,4.2947283,Naive/CM T
1031_Patient1_0DPHBP,3.8054638,4.1329403,Naive/CM T
1032_Patient1_0DPHBP,2.5289192,5.754016,Naive/CM T
1033_Patient1_0DPHBP,1.0570952,2.725208,Cytotoxic T
1036_Patient1_0DPHBP,1.4110913,5.434884,gdT
1040_Patient1_0DPHBP,2.55,1.4983301,gdT
1042_Patient1_0DPHBP,3.000221,2.6266174,Cytotoxic T
1044_Patient1_0DPHBP,3.6698594,2.6967158,Naive/CM T
1056_Patient1_0DPHBP,4.6861067,2.7359548,Naive/CM T
1059_Patient1_0DPHBP,4.0779,3.9820454,Naive/CM T
1060_Patient1_0DPHBP,3.255622,5.8730555,Naive/CM T
1065_Patient1_0DPHBP,3.6626885,4.150963,Naive/CM T
1066_Patient1_0DPHBP,5.6792264,1.1681751,Naive/CM T
1076_Patient1_0DPHBP,-2.0756164,3.2667286,Cytotoxic T
1083_Patient1_0DPHBP,2.4240198,3.9676516,Naive/CM T
