T_subtype,Exhaustion score
Naive/CM T,-0.696476223967796
Naive/CM T,-0.668121987276299
Naive/CM T,0.46250851653343
Naive/CM T,-0.0405326630348383
Naive/CM T,-0.0589855495719022
Naive/CM T,0.468088359389194
Naive/CM T,0.357349129610283
Naive/CM T,-0.222849477723587
gdT,-0.870339745809865
gdT,0.132409391181413
Naive/CM T,0.258498272563135
Naive/CM T,0.212224706605423
gdT,0.39052567592887
gdT,0.678631371786428
Naive/CM T,-0.229764533819154
Naive/CM T,0.600559642703034
Naive/CM T,0.30976312681686
gdT,0.228918272506359
gdT,0.640272504229878
Naive/CM T,0.305243065412654
Naive/CM T,-0.134639541271121
Cytotoxic CD8T,0.303120243161223
Cytotoxic CD8T,0.903447592092114
Proliferating CD8T,-0.139753833149754
Naive/CM T,-0.344150376430777
Naive/CM T,-0.202647392805232
gdT,0.233282545222792
Naive/CM T,-0.187793944602788
gdT,-0.297124552172283
Cytotoxic CD8T,-0.257938432915266
Cytotoxic CD8T,1.07569245449332
Naive/CM T,0.4863935993993
Naive/CM T,0.0441506674123364
gdT,0.785106666032658
Cytotoxic CD8T,0.228678510798964
gdT,0.13834620098735
gdT,-0.254076564700104
Naive/CM T,-0.390904656343681
Naive/CM T,0.643921065219613
gdT,0.577202971702398
Cytotoxic CD8T,0.410659786490506
Naive/CM T,-0.69097914850989
Cytotoxic CD8T,0.842374515977016
Naive/CM T,-0.552565069863962
Cytotoxic CD8T,-0.167930028161337
Naive/CM T,-0.0507173866449401
Naive/CM T,-0.903749073826989
Cytotoxic CD8T,0.0462887857126637
Naive/CM T,0.34364040995753
Cytotoxic CD8T,0.381773624863735
Naive/CM T,0.0843855605014534
Naive/CM T,0.571988504099291
Naive/CM T,0.288820704970248
Naive/CM T,0.27135787254156
Naive/CM T,-0.920543937683105
gdT,0.000466189717137521
Treg,0.0776359132278796
gdT,-0.595339107069858
gdT,0.417059439725654
Naive/CM T,-0.106538050451943
gdT,0.0937685092659883
Cytotoxic CD8T,1.09871836817541
Treg,0.479002121326535
gdT,-0.290470950104469
gdT,-0.63119514465332
Naive/CM T,0.1677627847361
gdT,0.24324064032976
gdT,1.22374880768531
gdT,-0.219407863173374
Cytotoxic CD8T,-0.0188651364348655
gdT,-0.503904387008312
Cytotoxic CD8T,0.588454735334529
gdT,0.243279926388762
Naive/CM T,0.311506280233693
gdT,0.59860760001249
Naive/CM T,-0.335897642623546
Naive/CM T,0.0149966838747954
Naive/CM T,0.0574689962697583
Naive/CM T,0.462653198242187
Naive/CM T,-0.188124595464662
Naive/CM T,0.358025358333144
Cytotoxic CD8T,-0.00901315733443852
Cytotoxic CD8T,0.88860328142033
gdT,-0.0524904330941133
Proliferating CD8T,1.33394001805505
Naive/CM T,-0.602012517175009
Naive/CM T,-0.59686934360238
Cytotoxic CD8T,-0.670503522296284
Naive/CM T,0.0935076194585755
Cytotoxic CD8T,0.051381757869277
Cytotoxic CD8T,0.766412073179733
gdT,0.808905533191769
Cytotoxic CD8T,0.135344437000363
Naive/CM T,-0.569717076323753
gdT,0.321359064856241
gdT,-0.485451326592024
Cytotoxic CD8T,0.252058343221974
Naive/CM T,0.27994767477346
Naive/CM T,0.0213568984630496
gdT,-0.327349450754564
Naive/CM T,0.0387660856025162
Naive/CM T,0.226784426666969
Naive/CM T,0.452184469533521
Cytotoxic CD8T,0.089334663568541
Naive/CM T,0.748110745452171
Naive/CM T,-0.532821366066156
Naive/CM T,-0.260785194219544
Naive/CM T,-0.0056186817967615
Cytotoxic CD8T,-0.15060955313749
Naive/CM T,0.417662491909293
Naive/CM T,-0.0377356631256813
Cytotoxic CD8T,0.871458537966706
Naive/CM T,-0.0398808501487554
Naive/CM T,-0.198940883902616
Cytotoxic CD8T,1.17163228589434
Naive/CM T,-0.00462986258573305
gdT,0.0606437345992687
Naive/CM T,0.156432546571243
Naive/CM T,-0.424536267657612
Naive/CM T,-0.183280463994935
Cytotoxic CD8T,0.292713775634765
Naive/CM T,-0.434737412208734
Naive/CM T,-0.801711636033169
Cytotoxic CD8T,0.321483377855877
Naive/CM T,0.684278330248455
Naive/CM T,-0.469893915930459
Naive/CM T,-0.313967214185138
Naive/CM T,0.936691344505132
Naive/CM T,0.150462245497592
Naive/CM T,-0.455679956480514
Naive/CM T,0.0383047325666561
Naive/CM T,0.923023309042287
gdT,0.537471969959347
Cytotoxic CD8T,0.352529147835665
Naive/CM T,-0.133658965354741
gdT,-0.194605560302734
Naive/CM T,-0.420965801505155
Naive/CM T,0.197272301607353
Proliferating CD8T,0.650514796057412
Naive/CM T,0.126775058480196
Cytotoxic CD8T,0.653959048958711
Cytotoxic CD8T,0.975482206122819
Cytotoxic CD8T,-0.403236362545989
Naive/CM T,0.318062910922738
Naive/CM T,0.0970154553790425
Naive/CM T,0.49568192592887
Naive/CM T,0.43516711922579
Cytotoxic CD8T,0.18774584038313
Naive/CM T,-0.0209642525606377
Naive/CM T,0.711835479736328
Naive/CM T,0.105801129008448
Naive/CM T,-0.175561803773392
Cytotoxic CD8T,0.672894741324491
Naive/CM T,0.497636339054551
Naive/CM T,-0.451008760319199
Naive/CM T,0.0484309280750363
Naive/CM T,-0.0358566124494685
Naive/CM T,-0.227637057637059
gdT,-0.250355528010878
Naive/CM T,0.0113852762621502
Naive/CM T,0.561535076762354
Naive/CM T,-0.448005277057026
Naive/CM T,-0.62181359401969
Naive/CM T,0.906708161110102
Naive/CM T,-0.17563832660054
Naive/CM T,0.504420020524845
Naive/CM T,0.286590395195539
Cytotoxic CD8T,-0.199969063692314
Naive/CM T,-0.201057922008425
Naive/CM T,-0.452806201313817
Naive/CM T,-0.269056266962095
Naive/CM T,0.427359576557957
Naive/CM T,0.0862244113655976
Naive/CM T,-0.249832383976426
gdT,0.30593119066815
Cytotoxic CD8T,1.81899400577988
Naive/CM T,-0.455188690008119
gdT,0.786780335182367
Naive/CM T,-0.402385550210642
Cytotoxic CD8T,1.11686793127725
Naive/CM T,-0.348400272103243
Treg,1.1016772177053
Naive/CM T,0.16224764801735
Naive/CM T,-0.22613427095635
Naive/CM T,0.635343422113463
Naive/CM T,0.323052944804346
Naive/CM T,-0.647960309316945
Naive/CM T,-0.309788350837175
Cytotoxic CD8T,0.392739648153615
Naive/CM T,-0.221819197188976
gdT,0.453299720231876
Naive/CM T,0.283823224444722
gdT,-0.380854968581088
