id,umap1,umap2,celltype
74266_Patient1_0DPHBP,6.6931996,5.1819644,Schwann
74267_Patient1_0DPHBP,6.6984987,5.231782,Schwann
74269_Patient1_0DPHBP,6.3159347,4.966685,Schwann
74270_Patient1_0DPHBP,6.7364836,4.91709,Schwann
74273_Patient1_0DPHBP,6.979904,5.367373,Schwann
74274_Patient1_0DPHBP,6.500284,5.325563,Schwann
74292_Patient1_0DPHBP,5.4426866,4.038971,Schwann
74293_Patient1_0DPHBP,1.2228549,2.405848,Schwann
74294_Patient1_0DPHBP,6.01305,4.9788485,Schwann
74295_Patient1_0DPHBP,6.560493,5.2063804,Schwann
74296_Patient1_0DPHBP,6.482323,5.384506,Schwann
74314_Patient1_0DPHBP,6.528901,5.3927584,Schwann
74315_Patient1_0DPHBP,6.4689045,5.380109,Schwann
74318_Patient1_0DPHBP,5.8268743,4.0316825,Schwann
74320_Patient1_0DPHBP,3.110576,4.4057646,Schwann
74325_Patient1_0DPHBP,6.5961156,5.090074,Schwann
74326_Patient1_0DPHBP,6.5162835,5.012146,Schwann
74327_Patient1_0DPHBP,6.811421,5.0728226,Schwann
74328_Patient1_0DPHBP,7.628944,4.731286,Schwann
74329_Patient1_0DPHBP,7.7108107,4.5704536,Schwann
74330_Patient1_0DPHBP,6.520079,5.523921,Schwann
74331_Patient1_0DPHBP,6.745635,4.4890857,Schwann
74332_Patient1_0DPHBP,6.964813,5.1819434,Schwann
74333_Patient1_0DPHBP,6.5118585,5.3303595,Schwann
74334_Patient1_0DPHBP,11.119176,2.3978117,Schwann
74335_Patient1_0DPHBP,6.508712,5.2968245,Schwann
74337_Patient1_0DPHBP,6.8585706,4.9545274,Schwann
74338_Patient1_0DPHBP,6.439652,5.389694,Schwann
74339_Patient1_0DPHBP,6.81279,4.8740425,Schwann
74350_Patient1_0DPHBP,6.7479687,5.2579956,Schwann
74351_Patient1_0DPHBP,7.52194,4.6094117,Schwann
74352_Patient1_0DPHBP,6.931004,4.089551,Schwann
74353_Patient1_0DPHBP,6.3756113,4.424411,Schwann
74357_Patient1_0DPHBP,4.6690426,5.358504,Schwann
74358_Patient1_0DPHBP,5.848292,5.272447,Schwann
74361_Patient1_0DPHBP,6.509749,5.4286275,Schwann
74362_Patient1_0DPHBP,7.698789,4.6237097,Schwann
74363_Patient1_0DPHBP,6.707803,5.2475653,Schwann
74364_Patient1_0DPHBP,6.5296903,5.4232135,Schwann
74365_Patient1_0DPHBP,6.491431,5.3825045,Schwann
74366_Patient1_0DPHBP,6.808783,5.2218766,Schwann
74369_Patient1_0DPHBP,6.734175,4.3479805,Schwann
74370_Patient1_0DPHBP,6.600269,3.8486533,Schwann
74371_Patient1_0DPHBP,6.769558,5.1895676,Schwann
74372_Patient1_0DPHBP,5.5232444,4.641216,Schwann
74376_Patient1_0DPHBP,6.1824374,5.2620053,Schwann
74377_Patient1_0DPHBP,6.796611,5.23023,Schwann
74378_Patient1_0DPHBP,6.33505,5.466856,Schwann
74379_Patient1_0DPHBP,7.419111,4.575755,Schwann
74380_Patient1_0DPHBP,5.979668,5.926066,Schwann
74381_Patient1_0DPHBP,6.4246583,5.4984984,Schwann
74382_Patient1_0DPHBP,7.3318305,4.6928315,Schwann
74383_Patient1_0DPHBP,6.479678,5.4283504,Schwann
74384_Patient1_0DPHBP,6.812957,4.7748003,Schwann
74385_Patient1_0DPHBP,6.372545,5.517546,Schwann
74387_Patient1_0DPHBP,6.5368032,5.381768,Schwann
74391_Patient1_0DPHBP,6.6190777,5.261067,Schwann
74392_Patient1_0DPHBP,6.4338655,5.408617,Schwann
74393_Patient1_0DPHBP,6.7695394,5.2109013,Schwann
74394_Patient1_0DPHBP,6.7621546,5.158641,Schwann
74396_Patient1_0DPHBP,6.572355,5.115971,Schwann
74397_Patient1_0DPHBP,6.716811,5.4258823,Schwann
74398_Patient1_0DPHBP,6.764357,5.425526,Schwann
74399_Patient1_0DPHBP,7.0316486,4.3803988,Schwann
74400_Patient1_0DPHBP,6.532012,4.512199,Schwann
74401_Patient1_0DPHBP,6.7549787,4.8374877,Schwann
74403_Patient1_0DPHBP,6.5568027,5.361984,Schwann
74404_Patient1_0DPHBP,6.540831,5.3692513,Schwann
74407_Patient1_0DPHBP,6.567217,5.26455,Schwann
74409_Patient1_0DPHBP,7.6619067,4.566792,Schwann
74411_Patient1_0DPHBP,8.078512,5.493383,Schwann
74414_Patient1_0DPHBP,6.610896,5.4517875,Schwann
74415_Patient1_0DPHBP,6.79906,5.1867514,Schwann
74417_Patient1_0DPHBP,7.325494,4.921548,Schwann
74418_Patient1_0DPHBP,6.529981,5.4917846,Schwann
74420_Patient1_0DPHBP,7.009863,5.5255423,Schwann
74421_Patient1_0DPHBP,6.5076222,5.355249,Schwann
74422_Patient1_0DPHBP,6.730677,5.127672,Schwann
74424_Patient1_0DPHBP,6.967836,4.7839847,Schwann
74425_Patient1_0DPHBP,6.6841884,5.114185,Schwann
74428_Patient1_0DPHBP,6.115784,5.3048697,Schwann
74429_Patient1_0DPHBP,6.1626973,5.2931666,Schwann
74430_Patient1_0DPHBP,10.267972,-0.5639918,Schwann
74431_Patient1_0DPHBP,7.0398455,4.7946835,Schwann
74432_Patient1_0DPHBP,6.933338,4.6880655,Schwann
74433_Patient1_0DPHBP,6.6044936,5.4454775,Schwann
74434_Patient1_0DPHBP,6.397532,5.3883243,Schwann
74435_Patient1_0DPHBP,6.364042,5.5408573,Schwann
74436_Patient1_0DPHBP,7.5861773,4.657311,Schwann
74437_Patient1_0DPHBP,6.3864617,5.6875796,Schwann
74439_Patient1_0DPHBP,6.9525948,5.0835433,Schwann
74445_Patient1_0DPHBP,6.728263,5.1820292,Schwann
74449_Patient1_0DPHBP,6.5072494,5.5092573,Schwann
74451_Patient1_0DPHBP,6.383809,5.1818557,Schwann
74452_Patient1_0DPHBP,6.655953,5.2259154,Schwann
74454_Patient1_0DPHBP,6.783758,5.2000985,Schwann
74455_Patient1_0DPHBP,6.472555,5.4815373,Schwann
74456_Patient1_0DPHBP,6.4237833,5.3445807,Schwann
74459_Patient1_0DPHBP,6.739795,5.049412,Schwann
74461_Patient1_0DPHBP,6.7008877,5.1149907,Schwann
74462_Patient1_0DPHBP,6.3374243,5.2640452,Schwann
74463_Patient1_0DPHBP,6.488522,5.390683,Schwann
74465_Patient1_0DPHBP,6.7808275,5.2314444,Schwann
74466_Patient1_0DPHBP,7.4239426,4.4451103,Schwann
74467_Patient1_0DPHBP,8.097749,4.956574,Schwann
74469_Patient1_0DPHBP,6.3819637,5.4610586,Schwann
74470_Patient1_0DPHBP,6.827031,5.1593504,Schwann
74471_Patient1_0DPHBP,6.58709,5.3240757,Schwann
74472_Patient1_0DPHBP,6.639418,4.7990246,Schwann
74474_Patient1_0DPHBP,7.5891643,4.7227216,Schwann
74478_Patient1_0DPHBP,7.6974735,4.5784707,Schwann
74479_Patient1_0DPHBP,6.772412,4.9522796,Schwann
74480_Patient1_0DPHBP,6.3763585,5.385347,Schwann
74483_Patient1_0DPHBP,6.66881,5.2274823,Schwann
74484_Patient1_0DPHBP,6.259509,5.7653604,Schwann
74485_Patient1_0DPHBP,7.2224097,4.7697644,Schwann
74486_Patient1_0DPHBP,6.4819417,5.510454,Schwann
74487_Patient1_0DPHBP,6.8755236,4.2603455,Schwann
74488_Patient1_0DPHBP,7.0023785,5.2135873,Schwann
74489_Patient1_0DPHBP,7.6421847,4.6352444,Schwann
74490_Patient1_0DPHBP,6.493653,5.4043713,Schwann
74491_Patient1_0DPHBP,6.7472653,5.190345,Schwann
74492_Patient1_0DPHBP,6.57943,5.148417,Schwann
74493_Patient1_0DPHBP,7.039044,5.0442953,Schwann
74494_Patient1_0DPHBP,6.6590495,5.3248367,Schwann
74495_Patient1_0DPHBP,7.5281286,4.798996,Schwann
74496_Patient1_0DPHBP,7.0278435,4.772089,Schwann
74497_Patient1_0DPHBP,6.687136,5.1806674,Schwann
74498_Patient1_0DPHBP,6.258077,5.1916533,Schwann
74499_Patient1_0DPHBP,5.7975693,4.9364386,Schwann
74500_Patient1_0DPHBP,6.5557046,5.3566604,Schwann
74531_Patient1_0DPHBP,7.6088314,4.544008,Schwann
74533_Patient1_0DPHBP,6.9078074,4.8877482,Schwann
74534_Patient1_0DPHBP,6.4754715,5.2485967,Schwann
74536_Patient1_0DPHBP,7.533761,4.828181,Schwann
74537_Patient1_0DPHBP,6.2697887,4.9168787,Schwann
74538_Patient1_0DPHBP,7.018494,5.2222567,Schwann
74539_Patient1_0DPHBP,7.049688,5.523791,Schwann
74540_Patient1_0DPHBP,6.611127,5.5067906,Schwann
74541_Patient1_0DPHBP,6.757034,5.011782,Schwann
74542_Patient1_0DPHBP,7.2043996,5.429167,Schwann
74543_Patient1_0DPHBP,8.287813,4.9499555,Schwann
74545_Patient1_0DPHBP,6.5647836,5.5137453,Schwann
74548_Patient1_0DPHBP,6.621223,5.279133,Schwann
75216_Patient1_0DPHBP,5.405917,5.0000377,Schwann
75217_Patient1_0DPHBP,7.0365887,5.591947,Schwann
75218_Patient1_0DPHBP,6.4003296,5.1696687,Schwann
75219_Patient1_0DPHBP,6.842281,5.025581,Schwann
75220_Patient1_0DPHBP,5.7309713,4.7112265,Schwann
75221_Patient1_0DPHBP,6.6929197,4.5767574,Schwann
75224_Patient1_0DPHBP,7.6608195,5.5529027,Schwann
75225_Patient1_0DPHBP,6.3349967,5.3070464,Schwann
75228_Patient1_0DPHBP,5.558072,5.2118735,Schwann
75234_Patient1_0DPHBP,5.9121737,5.3706756,Schwann
75236_Patient1_0DPHBP,7.5826025,5.5265727,Schwann
75240_Patient1_0DPHBP,7.008678,5.350653,Schwann
75244_Patient1_0DPHBP,6.585296,5.4863014,Schwann
75245_Patient1_0DPHBP,7.5685816,4.602348,Schwann
75248_Patient1_0DPHBP,6.2946777,5.399874,Schwann
75259_Patient1_0DPHBP,7.657908,5.566304,Schwann
75260_Patient1_0DPHBP,5.3526807,5.330956,Schwann
75261_Patient1_0DPHBP,4.6484847,5.0811286,Schwann
75264_Patient1_0DPHBP,5.8413258,5.19026,Schwann
75265_Patient1_0DPHBP,5.1035595,5.113914,Schwann
75267_Patient1_0DPHBP,3.8251631,4.936544,Schwann
75272_Patient1_0DPHBP,4.2793684,5.1235723,Schwann
75280_Patient1_0DPHBP,6.7350516,4.763612,Schwann
75282_Patient1_0DPHBP,6.719878,5.2062325,Schwann
75335_Patient1_0DPHBP,6.5248113,5.073519,Schwann
75353_Patient1_0DPHBP,6.8424454,5.247444,Schwann
75358_Patient1_0DPHBP,8.105682,5.5414753,Schwann
75374_Patient1_0DPHBP,3.8252227,4.985274,Schwann
75375_Patient1_0DPHBP,4.69142,4.9383225,Schwann
75376_Patient1_0DPHBP,6.342001,5.2715197,Schwann
75378_Patient1_0DPHBP,6.8281913,5.170142,Schwann
75379_Patient1_0DPHBP,6.4325805,5.24089,Schwann
75380_Patient1_0DPHBP,6.453451,5.3814087,Schwann
75381_Patient1_0DPHBP,8.482296,5.427507,Schwann
75385_Patient1_0DPHBP,7.664383,5.3617463,Schwann
75387_Patient1_0DPHBP,6.8567877,4.8947167,Schwann
75388_Patient1_0DPHBP,7.166818,5.402868,Schwann
75394_Patient1_0DPHBP,7.9902635,5.3338847,Schwann
75395_Patient1_0DPHBP,6.5498652,4.2247753,Schwann
75396_Patient1_0DPHBP,6.603561,4.1487775,Schwann
75398_Patient1_0DPHBP,7.8432384,4.641955,Schwann
75399_Patient1_0DPHBP,6.680195,5.43469,Schwann
75402_Patient1_0DPHBP,6.7223907,5.255927,Schwann
75404_Patient1_0DPHBP,6.1284,5.198315,Schwann
75405_Patient1_0DPHBP,7.999003,5.3666687,Schwann
75408_Patient1_0DPHBP,6.427213,5.3709803,Schwann
75410_Patient1_0DPHBP,6.2888727,3.7002726,Schwann
75418_Patient1_0DPHBP,6.794302,5.0229077,Schwann
75419_Patient1_0DPHBP,6.5878997,4.7207146,Schwann
75421_Patient1_0DPHBP,6.752287,4.733267,Schwann
75426_Patient1_0DPHBP,6.13734,5.0668287,Schwann
75430_Patient1_0DPHBP,6.5358896,5.3124633,Schwann
75433_Patient1_0DPHBP,7.5638576,6.0575376,Schwann
75434_Patient1_0DPHBP,6.6047378,3.7582858,Schwann
75437_Patient1_0DPHBP,7.0799484,4.9104476,Schwann
75438_Patient1_0DPHBP,6.413723,3.763102,Schwann
75441_Patient1_0DPHBP,6.7374687,5.406504,Schwann
75443_Patient1_0DPHBP,7.1272087,5.2520137,Schwann
75445_Patient1_0DPHBP,8.295883,5.4700656,Schwann
75451_Patient1_0DPHBP,8.585369,3.621549,Schwann
75460_Patient1_0DPHBP,7.3615475,4.736583,Schwann
75461_Patient1_0DPHBP,5.228042,4.997947,Schwann
75463_Patient1_0DPHBP,6.500139,4.4163823,Schwann
75467_Patient1_0DPHBP,7.2181997,4.9567738,Schwann
75469_Patient1_0DPHBP,6.8836317,4.884416,Schwann
75472_Patient1_0DPHBP,8.512901,5.461281,Schwann
75479_Patient1_0DPHBP,6.4772415,3.756119,Schwann
75482_Patient1_0DPHBP,7.7368093,5.239718,Schwann
75484_Patient1_0DPHBP,6.5067577,5.2076116,Schwann
75490_Patient1_0DPHBP,7.22121,5.5023665,Schwann
75492_Patient1_0DPHBP,6.9871273,5.259753,Schwann
75493_Patient1_0DPHBP,6.80032,4.823109,Schwann
75494_Patient1_0DPHBP,6.6887555,5.1965404,Schwann
75495_Patient1_0DPHBP,6.717113,5.2247844,Schwann
75496_Patient1_0DPHBP,6.7618513,5.308861,Schwann
75497_Patient1_0DPHBP,6.9903336,4.4625077,Schwann
75500_Patient1_0DPHBP,6.657857,4.438902,Schwann
75501_Patient1_0DPHBP,6.718925,5.3710194,Schwann
75504_Patient1_0DPHBP,6.7066283,5.2991047,Schwann
75507_Patient1_0DPHBP,6.6199884,5.2792497,Schwann
75511_Patient1_0DPHBP,6.473856,5.302066,Schwann
75512_Patient1_0DPHBP,6.7435,5.172756,Schwann
75513_Patient1_0DPHBP,6.7924747,5.2161126,Schwann
75514_Patient1_0DPHBP,6.6273456,4.617857,Schwann
75515_Patient1_0DPHBP,6.7106857,4.836114,Schwann
75516_Patient1_0DPHBP,7.0804234,5.319298,Schwann
75517_Patient1_0DPHBP,6.8696966,4.473074,Schwann
75518_Patient1_0DPHBP,6.5990186,5.3428555,Schwann
75519_Patient1_0DPHBP,6.5399613,3.728352,Schwann
75522_Patient1_0DPHBP,7.1626797,5.2015767,Schwann
75523_Patient1_0DPHBP,6.435532,5.2808766,Schwann
75525_Patient1_0DPHBP,6.678517,5.242915,Schwann
75526_Patient1_0DPHBP,6.442634,5.37269,Schwann
75528_Patient1_0DPHBP,7.408478,4.8138647,Schwann
75529_Patient1_0DPHBP,6.772203,5.184729,Schwann
75530_Patient1_0DPHBP,7.1696563,5.3992944,Schwann
75531_Patient1_0DPHBP,6.7971344,5.0154448,Schwann
75533_Patient1_0DPHBP,6.8398767,4.9351163,Schwann
75534_Patient1_0DPHBP,7.560696,4.258744,Schwann
75597_Patient1_0DPHBP,7.4424825,5.294571,Schwann
75599_Patient1_0DPHBP,6.504323,5.3120947,Schwann
75600_Patient1_0DPHBP,7.0569773,5.1191244,Schwann
76616_Patient1_0DPHBP,5.080739,5.2962236,Schwann
79323_Patient1_0DPHBP,6.7655673,0.63492703,Schwann
79938_Patient1_0DPHBP,6.654256,5.128445,Schwann
79949_Patient1_0DPHBP,6.9484005,4.6458707,Schwann
79960_Patient1_0DPHBP,6.799207,5.2821283,Schwann
79972_Patient1_0DPHBP,6.7172003,5.1569595,Schwann
79973_Patient1_0DPHBP,6.8897376,5.1158237,Schwann
79975_Patient1_0DPHBP,6.935852,4.555492,Schwann
79977_Patient1_0DPHBP,6.5822973,4.915289,Schwann
79982_Patient1_0DPHBP,6.79635,5.252067,Schwann
79983_Patient1_0DPHBP,6.6034636,5.442173,Schwann
79984_Patient1_0DPHBP,7.4473615,5.4374003,Schwann
79985_Patient1_0DPHBP,6.6506224,4.454375,Schwann
79986_Patient1_0DPHBP,6.6679263,5.371905,Schwann
80003_Patient1_0DPHBP,6.0595427,5.844653,Schwann
80008_Patient1_0DPHBP,6.862707,4.7403073,Schwann
80009_Patient1_0DPHBP,7.0137453,4.0659666,Schwann
80011_Patient1_0DPHBP,6.6686816,5.228767,Schwann
80046_Patient1_0DPHBP,6.9654675,4.4553614,Schwann
80048_Patient1_0DPHBP,7.409822,4.671979,Schwann
80050_Patient1_0DPHBP,6.7796936,5.168755,Schwann
80051_Patient1_0DPHBP,7.7060566,4.6938634,Schwann
80052_Patient1_0DPHBP,7.1119285,4.5684752,Schwann
80053_Patient1_0DPHBP,6.762326,4.9932165,Schwann
80055_Patient1_0DPHBP,6.9313235,4.9873776,Schwann
80058_Patient1_0DPHBP,6.5897784,5.1831493,Schwann
80059_Patient1_0DPHBP,6.6820936,5.256706,Schwann
80060_Patient1_0DPHBP,6.918164,4.9640775,Schwann
80061_Patient1_0DPHBP,6.4470816,5.322042,Schwann
80063_Patient1_0DPHBP,7.7003336,5.274525,Schwann
80064_Patient1_0DPHBP,8.532191,5.4923854,Schwann
80065_Patient1_0DPHBP,6.729521,5.113501,Schwann
80121_Patient1_0DPHBP,6.7738175,4.2889853,Schwann
80328_Patient1_0DPHBP,6.6898103,5.491456,Schwann
80333_Patient1_0DPHBP,6.402708,5.2821374,Schwann
80334_Patient1_0DPHBP,6.0552115,5.216064,Schwann
80336_Patient1_0DPHBP,8.182501,5.5180106,Schwann
