T_subtype,n_pairs,mean_DX,mean_PT,mean_delta_PT_minus_DX,median_DX,median_PT,median_delta_PT_minus_DX,wilcoxon_stat,p_value,p_value_fdr
Cytotoxic T,5,0.0870235950594053,0.2589584727611058,0.17193487770170052,0.0218863991662324,0.14475079533404,0.1228643961678076,0.0,0.0625,0.10416666666666667
Naive/CM T,5,0.79240220689677,0.6218425894476821,-0.17055961744908782,0.953249508434233,0.728525980911983,-0.18615598258673405,0.0,0.0625,0.10416666666666667
Proliferating T,5,0.00325551175628338,0.01922108903780366,0.01596557728152028,0.0025661804430037,0.0207720742669915,0.013531630118191501,0.0,0.0625,0.10416666666666667
Treg,5,0.0024328046417227598,0.013598516263355323,0.01116571162163256,0.0013506212857914,0.0058324496288441,0.0051692254116856,1.0,0.14412703481601533,0.18015879352001915
gdT,5,0.11488588164581763,0.08637933249005184,-0.0285065491557658,0.0170495705267515,0.109121703363174,0.029453668694175,5.0,0.625,0.625
