source,neighbor,delta
Endothelial,Endothelial,0.5939178121222299
Endothelial,Fibroblast,-0.19173265083354551
Endothelial,Schwann,-0.267093667435935
Endothelial,Neuroblast,-0.39388143238518003
Endothelial,Macrophage,0.0064211720133859895
Endothelial,B,0.31083854927954896
Endothelial,T,0.628465327477419
Fibroblast,Endothelial,-0.040403624281226014
Fibroblast,Fibroblast,-0.49507405926372505
Fibroblast,Schwann,-0.543297419254827
Fibroblast,Neuroblast,-0.2096335905133
Fibroblast,Macrophage,0.0550188570334762
Fibroblast,B,1.090339280700571
Fibroblast,T,0.931088965323733
Schwann,Endothelial,-0.019135836522176985
Schwann,Fibroblast,-0.5683058347780205
Schwann,Schwann,-1.4533208676937799
Schwann,Neuroblast,-0.515658286318666
Schwann,Macrophage,-0.2041055210080952
Schwann,B,0.6838738729223699
Schwann,T,0.399965878271762
Neuroblast,Endothelial,-0.5330092787913401
Neuroblast,Fibroblast,-0.42358211300904003
Neuroblast,Schwann,-0.6537569332243861
Neuroblast,Neuroblast,0.014786786777650107
Neuroblast,Macrophage,0.14748875817657803
Neuroblast,B,-0.14932437322889003
Neuroblast,T,-0.3617203213786899
Macrophage,Endothelial,0.1087744786676336
Macrophage,Fibroblast,-0.007976899245385999
Macrophage,Schwann,-0.22426604404988443
Macrophage,Neuroblast,0.28514118712552106
Macrophage,Macrophage,-0.17274208126092194
Macrophage,B,0.5757991765123628
Macrophage,T,0.5004445220228131
B,Endothelial,0.40120258705760303
B,Fibroblast,1.053267819846258
B,Schwann,0.654596788317762
B,Neuroblast,-0.1009184146617701
B,Macrophage,0.5640342115194474
B,B,3.03013795148629
B,T,1.9011787171362209
T,Endothelial,0.772309487739401
T,Fibroblast,0.8881866185689999
T,Schwann,0.396788862874214
T,Neuroblast,-0.15474334427299996
T,Macrophage,0.5101907313895887
T,B,1.982352134308785
T,T,1.81191113046205
