contrast,estimate,SE,df,t.ratio,p.value,comp_key
pTx - pI4,692.398874621075,156.885686257734,54.8619726323578,4.41339736681646,0.000240532491526388,pI4 - pTx
pTx - pSu,826.37070720328,186.572756507472,62.8635637748851,4.42921422544447,0.000231234332475097,pSu - pTx
pTx - ePC,199.075192856862,154.331384751289,53.8206365620167,1.28992034366619,0.405186983617863,ePC - pTx
pI4 - pSu,133.971832582204,204.867639896761,72.981880281863,0.653943358988843,0.515203617342434,pI4 - pSu
pI4 - ePC,-493.323681764214,173.199661425198,63.3732317349511,-2.84829472358565,0.0177592467318347,ePC - pI4
pSu - ePC,-627.295514346418,199.405724510956,59.2338435428097,-3.14582500519915,0.0103622661964709,ePC - pSu
